seq,text,id,score
27860,最近 考试 没 时间 评价 想着 一段时间 再 评价 平安夜 买 12 月 26 号 hellip 深圳 发到 武汉 真的 不要 太快 hellip 第一次 网上 买 贵重 真的 逛 淘宝 逛 好久 那天 逛 三个 小时 才 终于 确定 一家 买 hellip 突然 看到 这家 店 居然 一条 差评 都 每个 用户 评价 都 快 刷 完 眼睛 都 快 看花 本人 逛 淘宝 经验 比较 准 直觉 断定 这家 肯定 不错 跑 去 问 客服 天呐 觉得 客服 都 超级 好 特别 小 灰灰 肯定 放心 绝对 正品 这种 不能 全 信 觉得 正品 128g 256g 中 徘徊 后来 选 256g 哈哈哈 内存 大 感觉 真是 太爽了 之前 5s16g 两年 半 还好 新 内存 不够 每天 删 软件 删 照片 想 哭 才 不换 下单 后 其实 蛮 激动 到手 查 官网 序列号 安兔 兔 能查 都 查 知道 确实 正品 手里 感觉 体验 出来 别人 说 屏幕 发黄 电流 问题 靠近 摄像头 仔细听 才 苹果 7 都 影响 使用 觉得 罗里 嗦 知道 说 些 有史以来 写 最长 评价 居然 字数 不够 hellip 反正 这家 店 真的 很赞 降价 想 哭 55,85,101.37736244756468
10706,之前 5s 觉得 挺 好 系统 好使 就行 4 天桥 上 推销 玫瑰花 偷 换 5s 快 三年 这次 爸妈 实在 看不下去 说 屏幕 太小 赶紧 换 领导 拨款 换 软妹 纸 一枚 没 看中 女孩子 巨爱 玫瑰 金 有次 看见 一杀 马特 玫瑰 金 招摇 打电话 果断 选亮 黑 质感 超强 低调 叮嘱 卖家 ifc 提货 小票 显示 ifc 手提袋 包装 完美 16g 128g 区别 在于 16g 喝水 都 会 胖 128g 吃不胖 病 比国行 便宜 600 600 买 美壳 买 无线耳机 关键 听说 港版 比国行 靠得住 ipad air 5s 都 港 便宜 为啥 还要 花 冤枉钱 客服 回应 太慢 很多 问题 想 问 看 评论 打消 顾虑 送 大礼包 送 移动 电源 刚 开机 暖 屏 屎 黄色 看见 肉疼 心疼 现在 特别 舒胡 颜色 不亮 刺眼 黄得 恶心 卖家 办法 调 一下 可能 几天 关系 贴 卖家 送 钢化 膜 天桥 贴膜 小妹 名号 已经 传开 推 elecom 钢化 膜 外壳 switcheasy 亮 黑绝 搭 此壳 缺点 脆皮 一枚 夜里 碎觉 压碎 买 壳 官方 好 卖家 卖 好 货 希望 卖家 做好 售后,158,81.92168401628538
27989,说实话 第一次 网上 买 上 1000 块 以上 心里 真心 踏实 好 双 11 之前 收到 货 心里 一块 石头 终于 落地 决定 买果 7 之前 已经 看好 华为 9 6S plus 实体 店里 去 体验 一下 大屏幕 看着 确实 视觉享受 不少 这种 手 比较 小 人 来说 操作 起来 妥妥 必须 两只手 真心 太 方便 再 加上 之前 4S 单手操作 起来 OK 慎重考虑 后 决定 买果 7 这家 店 客服 好 有问必答 拿到 果 7 网上 官网 都 去 查询 之前 疑虑 都 烟消云散 参照 网上 激活 方式 操作 起来 麻烦 使用 差不多 三天 流畅 度 好 不卡 相机 力 这次 决定 越狱 顺便 说 下 黑色 磨砂 好看 后悔 选择,85,77.70306201315057
28372,最近 考试 没 时间 评价 想着 一段时间 再 评价 平安夜 买 12 月 26 号 hellip 深圳 发到 武汉 真的 不要 太快 hellip 第一次 网上 买 贵重 真的 逛 淘宝 逛 好久 那天 逛 三个 小时 才 终于 确定 一家 买 hellip 突然 看到 这家 店 居然 一条 差评 都 每个 用户 评价 都 快 刷 完 眼睛 都 快 看花 本人 逛 淘宝 经验 比较 准 直觉 断定 这家 肯定 不错 跑 去 问 客服 天呐 觉得 客服 都 超级 好 特别 小 灰灰 肯定 放心 绝对 正品 这种 不能 全 信 觉得 正品 128g 256g 中 徘徊 后来 选 256g 哈哈哈 内存 大 感觉 真是 太爽了 之前 5s16g 两年 半 还好 新 内存 不够 每天 删 软件 删 照片 想 哭 才 不换 下单 后 其实 蛮 激动 到手 查 官网 序列号 安兔 兔 能查 都 查 知道 确实 正品 手里 感觉 体验 出来 别人 说 屏幕 发黄 电流 问题 靠近 摄像头 仔细听 才 苹果 7 都 影响 使用 觉得 罗里 嗦 知道 说 些 有史以来 写 最长 评价 居然 字数 不够 hellip 反正 这家 店 真的 很赞 降价 想 哭 55,85,68.2483278412535
34639,昨天 刚 收到 屏幕 黄 正品 通话 电流 声 黄瓶 问题 解决 通用 辅助 功能 显示 调节 处 调节 保护 好 眼睛 现在 黄屏 玩 慢慢 习惯 发货 后 物流 速度 很快 15 下午 发出 第二天 最后 想 说 可气 在线 客服 腊鸡 服务态度 不好 还 敷衍 最 重要 不想 回 还 装 忙 说好 先 付款 早 发货 5 天 还 没 发出 货 本来 安慰 说 双 11 物流 慢 理解 看 评论 后 发现 很多 人 都 后 找 在线 客服 问 客服 爱理不理 回答 问题 个个 都 机器 化 20 多分钟 回 问题 没回 还 有的是 问 直接 不回 服务态度 质量 只能 两个 字 概括 极差 特别 15 号 那天 9 点多到 13 点多 联系 在线 客服 显示 消息 50 加 人数 联系 都 联系 不上 最后 电话 过去 官方 客服 帮 改 时间 服务态度 极好 在线 客服 来说 简直 一个天 总结 价格 实惠 发货 后 速度 很快 正品 没 问题 收到 爱 疯 7 生产 时间 10 月份 应该 算 好 在线 客服 服务水平 有待 提高 第一次 评论,139,67.8994482330456
10276,家里人 买 实体店 买 国行 128G 玫瑰 金 对比 一下 拍照 差不多 打开 app 速度 差不多 盒子 不是 原 包装 刚 拿到 手一看 盒子 写 32G 销售 凭证 写 32G 吓一跳 都 申请 换货 客服 说 黄色 条码 为准 还 特地 打电话 解释 激活 确实 128G 试 一下 配件 耳机 应该 原装 教 大家 辨别真假 EarPods 方法 手指 捏住 耳机 柄 孔 低音 明显 减弱 充电 线 不能 确认 是否 原装 发 一些 自用 新 买 对比 图 上 新 下 旧 背面 中文 实体店 买 国行 背面 全英文 还 没 撕膜 淘宝 买 港行 买 港行 拆过 盒子 里面 说明书 数据线 充电器 头 耳机 lightning 耳机 接口 转换 线 那根 戳 手机卡 孔 针 都 hellip hellip 家里 就算 希望 下次 检查 清楚 再 发货 总体 来说 还 算 满意 价格 变化 太快 拍 5390 第二天 降价 四十块 理解 感觉 应该 谱 再用 问题 会 追加 不错 还会 再 买,88,59.97891768470205
31262,正品 正品 正品 亲测 重要 事情 说 三遍 零售 机 区别 ndash 保修期 ndash ndash 裸机 ndash 第一次 淘宝 上 买 贵重 说实话 买 忐忑 怕 买 假货 翻新 机 买 之前 辨别 苹果 真伪 做 充足 功课 官 换机 需要 注意 事项 进行 充分 了解 收到 货 按部就班 一步 一步 检验 最后 证实 确实 正品 新机 无疑 客服 态度 好 买家 了解 清楚 之前 允许 买家 下单 期间 懂 地方 耐心 解答 还 打电话 解惑 需要 注意 地方 会 提醒 有人 可能 会 疑惑 买 保修期 230 天 当时 原本 打算 买国行 350 天 左右 保修 当时 客服 推荐 买 港版 配置 说 保修 250 天 左右 实际上 230 天 勉强 接受 范围 内 便宜 150 后来 买 港版 物流 很快 顺丰 昨天 买 今天 寄件 负责 要求 收件 时 证件 验收 当面 验货 签收 时花 20 分钟 包裹 密封 袋 包装 这是 一次 满意 购物 下次 还会 再 祝 店家 生意兴隆,195,59.616165651023564
18380,知道 淘宝 买 已经 不怎么 写 评价 今天 发 评论 想 大家 少 点 顾虑 多点 参考 买手机 3500 左右 说 多不多 说少 不少 预算 价位 大多 都 不是 经济 宽裕 人 买 大件 顾虑重重 理解 转 几十家 店 淘宝 购物车 一堆 同款 比较 最后 确定 这家 到手 之后 测试 耳机 清晰 数据线 包装 比较 讲究 配件 朕 能力 有限 没法 测试 真防 相信 卖家 主要 机器 确实 日版 全新 行货 价格 算 公道 大多 便宜 家写 便宜 基本 都 去 原 配件 发两张 图 供参考 懒 没 拍 直接 电脑 截图 建议 大家 加 30 换 超雪卡 淘宝 基本 50 左右 添加 划算 能力 官解 更好 价格便宜 点 百八十块 就解 贵 值得 送 膜 裂 说 一下 店家 立马 重发 张 其实 买 三 D 全 覆盖 需要 赠品 看看 卖家 服务态度 还 算 满意 目前 售后服务 看 问题 处理 态度 添加 最后 一点 店家 弄 超雪卡 不够 清晰 太笨 希望 浪费 电 时间 重新 做个 视频 最好,257,58.62767241993098
12011,8 号 上午 拿到 拿到 准确 说 原膜 破损 没见 原封 是否 原封 评价 老板 说 长途运输 造成 理解 美国 运 一个月 先到 香港 再 四川 破损 合理 下午 要考 代数 本来 想 晚上 再 激活 按捺不住 中午 打开 打开 确实 新机 檀 香味 机子 上 膜 完好无损 配件 多年 买 假货 经验 一看 真的 假货 买 感觉 激活 后 保修 18 年 1 月 7 号 健康 应用 里面 没 数据 说明 没开 过机 重要 大家 自行 百度 爱思 助手 查 电池 一次 循环 之前 纠结 一次 循环 想一想 拿到 有电 肯定 充 过电 充电 还 充满 说 使用 情况 知道 iphone7 到底 网上 传 问题 我用 好好 问题 都 没 遇见 死机 黑屏 触屏 灵敏 电池 耐用 下午 3 点 多充 完电 中间 还 出来 翻翻 短信 5 点 100 电不带 掉 当然 背面 有时候 感受 热量 处理器 快 能耗 高 肯定 会 散热 能量守恒 做工 肯定 会 发热 发热 砖 系统 10.1 1 写 挺 容易 托会 伤心,231,56.579924662224585
10810,一段时间 才 评价 总结 一下 使用 感受 卖家 发货 很快 到手 后 仔细观察 塑封 膜 看到 所谓 原封 气孔 知道 是否是 绝对 回去 用安兔 兔 跑 分 烫得 感觉 炸 只 聊天 刷 网页 温度 正常 电流 声 问题 刻意 去 摄像头 旁边 听 有没有 电流 声 觉得 根本 影响 平时 使用 录像 后 回放 时 确实 会 沙沙沙 噪音 安静 环境 下 录制 会 黄屏 问题 觉得 屏幕 正常 网上 说 屎 黄色 续航 问题 没用过 6 系列 苹果 知道 电量 是否 更 耐用 充满 一次 电 一天 没 问题 指刷 网页 聊天 包括 看 视频 只用 数据线 充电 会 很慢 插头 充会 快 很多 差不多 7 体验 好 起来 流畅 系统 好 用到 飞 最后 说 7 一些 问题 都 卖家 无关 毕竟 不是 生产 只能 说明 苹果 品控 越来越 差 需要 还会 购买 希望 时 卖家 免掉 信用卡 手续费,158,55.802671648186816
